"LCSC Part Number","Manufacture Part Number","Manufacturer","Package","Customer #","Description","RoHS","Order Qty.","Min\Mult Order Qty.","Unit Price","Order Price","Product Link"
"C34642","KM477M050G20RR0VH2FP0","CX(Dongguan Chengxing Elec)","Radial Leaded,10x20mm","","470uF 50V 10mm 20mm ±20% 5mm 2000hrs@105℃ Radial Leaded,10x20mm Aluminum Electrolytic Capacitors - Leaded ROHS","yes","5","5","0.1147","0.57","https://assets.lcsc.com/images/lcsc/96x96/20180914_CX-Dongguan-Chengxing-Elec-KM477M050G20RR0VH2FP0_C34642_front_10.jpg"
"C409821","05B104K500PF3C1N0R","STE(Songtian Elec)","Radial Leaded,P=5.08mm","","±10% 50V 100nF X7R Radial Leaded,P=5.08mm Multilayer Ceramic Capacitors MLCC - Leaded ROHS","yes","10","10","0.0498","0.5","https://assets.lcsc.com/images/lcsc/96x96/20190827_STE-Songtian-Elec-05B104K500PF3C1N0R_C409821_front.jpg"
"C155540","EGH1EM221F12OTGOSO","AISHI(Aihua Group)","Radial Leaded,8x12mm","","220uF 25V 8mm ±20% 12mm 460mΩ@100kHz 3.5mm 210mA@100kHz 7000hrs@105℃ Radial Leaded,8x12mm Aluminum Electrolytic Capacitors - Leaded ROHS","yes","10","10","0.0633","0.63","https://assets.lcsc.com/images/lcsc/96x96/20180914_AISHI-Aihua-Group-EGH1EM221F12OTGOSO_C155540_front.jpg"
"C20648","KBP307","MDD（Microdiode Electronics）","KBP","","80A 1V@3A 10μA@600V 3A 600V -55℃~+150℃@(Tj) KBP Bridge Rectifiers ROHS","yes","5","5","0.1259","0.63","https://assets.lcsc.com/images/lcsc/96x96/20200710_MDD-Microdiode-Electronics--KBP307_C20648_front.jpg"
"C2476","1N5822","MDD（Microdiode Electronics）","DO-201AD","","40V 525mV@3A 3A DO-201AD Schottky Barrier Diodes (SBD) ROHS","yes","5","5","0.1124","0.56","https://assets.lcsc.com/images/lcsc/96x96/20190621_MDD-Microdiode-Electronics--1N5822_C2476_front.jpg"
"C124413","B-2200S04P-A120","Ckmtw(Shenzhen Cankemeng)","Plugin,P=2.54mm","","2.54mm Brass Straight 4 1 Plugin,P=2.54mm Female Headers ROHS","yes","5","5","0.1289","0.64","https://assets.lcsc.com/images/lcsc/96x96/20180914_Ckmtw-Shenzhen-Cankemeng-B-2200S04P-A120_C124413_front_10.jpg"
"C124421","B-2200S06P-B120","Ckmtw(Shenzhen Cankemeng)","Plugin,P=2.54mm","","2.54mm 2.54mm Brass Straight 6 2 Plugin,P=2.54mm Female Headers ROHS","yes","5","5","0.1413","0.71","https://assets.lcsc.com/images/lcsc/96x96/20180914_Ckmtw-Shenzhen-Cankemeng-B-2200S06P-B120_C124421_front_10.jpg"
"C50950","C50950","BOOMELE(Boom Precision Elec)","Plugin,P=2.54mm","","2.54mm Straight 5 1 Plugin,P=2.54mm Female Headers ROHS","yes","10","10","0.0706","0.71","https://assets.lcsc.com/images/lcsc/96x96/20190528_BOOMELE-Boom-Precision-Elec-C50950_C50950_front.jpg"
"C252935","GMD9505RB-3V2700","INGHAi","Plugin,P=5mm","","5.3mm 9.6mm Active (driven circuit included) 80dB@3V,10cm 2V~5V Magnetic 3V 2700Hz Plugin,P=5mm Buzzers ROHS","yes","1","1","0.7412","0.74","https://assets.lcsc.com/images/lcsc/96x96/20190418_INGHAi-GMD9505RB-3V2700_C252935_front.jpg"
"C8404","WJ126V-5.0-2P","Ningbo Kangnex Elec","P=5mm","","2.5 18A -40℃~+105℃ 250V Green Straight pin 5mm 1 14~26 2 P=5mm Screw terminal ROHS","yes","5","5","0.0858","0.43","https://assets.lcsc.com/images/lcsc/96x96/20200709_Ningbo-Kangnex-Elec-WJ126V-5-0-2P_C8404_front.jpg"
